Region,TV_Budget,Radio_Budget,SocialMedia_Budget,Is_Holiday,Sales
EU,45.93,71.74,157.51,1,653.24
NA,290.17,68.35,12.01,0,1305.82
EU,132.44,23.7,248.21,1,650.87
NA,234.82,86.32,148.03,1,1201.16
EU,89.38,71.95,153.07,0,691.78
EU,74.27,75.12,154.53,0,692.77
EU,66.3,67.58,142.64,0,649.4
EU,181.95,100.56,208.84,0,1029.6
NA,188.57,57.32,52.85,0,904.07
NA,289.62,34.61,130.3,0,1165.18
NA,138.77,84.58,139.08,0,851.15
NA,295.89,98.19,46.22,0,1450.59
NA,210.48,77.49,29.59,0,1053.58
EU,189.93,72.42,158.46,1,876.15
NA,215.67,94.86,18.57,0,1134.28
EU,130.04,106.87,101.82,0,856.55
EU,150.42,60.76,97.13,0,666.22
NA,119.47,59.2,106.8,0,683.5
NA,276.63,81.15,17.6,0,1284.39
EU,127.47,30.46,63.9,0,456.17
EU,34.95,73.6,235.4,0,733.15
NA,58.47,43.23,21.57,0,403.45
NA,291.34,32.64,55.83,0,1210.47
EU,78.34,101.18,194.35,0,839.56
EU,115.43,64.34,242.44,0,810.13
NA,275.07,62.85,47.71,0,1251.98
NA,120.4,71.11,146.59,0,713.52
EU,198.67,22.91,125.73,0,586.02
EU,86.21,62.91,239.58,0,723.12
EU,151.13,84.38,59.98,0,727.76
NA,79.03,86.44,115.76,0,609.04
NA,172.87,21.58,57.3,0,757.74
EU,119.78,148.84,218.6,1,1210.2
NA,239.38,81.78,128.56,0,1141.68
EU,184.61,83.61,218.55,1,984.24
EU,46.73,27.58,222.75,1,528.93
NA,60.77,12.25,141.38,0,306.04
EU,72.39,116.71,120.35,1,838.34
NA,256.68,75.57,137.45,0,1208.08
EU,112.77,113.52,234.66,1,1049.22
EU,129.36,72.87,59.22,0,646.76
EU,120.9,137.06,140.39,1,1064.22
EU,134.6,108.26,121.19,0,904.08
EU,189.77,126.68,63.77,0,995.2
EU,25.03,138.66,71.21,0,802.74
NA,276.29,78.79,63.53,1,1310.35
NA,97.23,41.25,20.87,1,585.91
NA,246.36,66.9,68.39,0,1164.64
EU,171.9,140.15,121.09,0,1113.71
EU,51.06,38.32,171.27,1,530.22
EU,190.0,94.46,204.63,0,1009.96
NA,211.06,95.81,25.66,0,1158.33
EU,82.6,109.97,120.93,0,828.45
NA,133.78,83.14,98.87,0,783.67
NA,282.57,42.89,105.36,0,1181.62
NA,168.25,96.78,102.77,1,1036.05
EU,49.19,116.76,238.08,0,959.96
NA,214.89,77.5,105.79,0,1066.94
NA,167.49,64.21,54.75,0,854.43
EU,119.03,96.8,209.08,0,914.08
EU,145.83,106.22,246.6,0,1061.39
EU,123.16,44.43,119.86,0,581.19
NA,104.5,66.95,104.1,0,649.43
EU,199.74,95.47,226.7,0,1066.88
EU,95.56,71.69,54.02,0,574.48
NA,171.84,24.68,86.84,0,741.01
EU,20.62,55.52,200.55,1,600.33
NA,106.97,78.59,133.59,0,700.64
EU,175.92,29.54,243.2,0,736.72
EU,134.77,70.27,222.87,1,855.26
NA,130.33,67.1,38.58,0,739.52
EU,78.76,125.08,123.83,0,887.61
NA,155.74,92.58,92.42,1,945.82
EU,21.87,48.14,93.48,0,395.69
EU,173.41,21.07,169.33,0,592.89
EU,79.69,23.94,203.27,0,499.94
NA,196.99,73.52,133.98,0,983.76
EU,74.83,125.77,170.03,0,941.06
EU,166.07,121.32,206.63,1,1128.38
EU,80.49,76.19,134.23,0,666.91
NA,128.8,41.41,31.08,0,625.7
NA,62.13,80.2,53.12,0,530.07
EU,37.96,55.47,220.97,1,624.36
EU,64.24,141.39,136.71,1,1003.88
EU,132.06,48.71,138.29,1,643.06
NA,90.56,24.47,36.22,1,485.15
NA,118.87,58.69,95.33,0,697.04
EU,82.56,88.6,70.15,1,675.03
EU,36.88,65.09,109.25,0,526.52
EU,25.27,28.53,241.88,0,496.68
NA,256.7,41.59,74.96,1,1090.75
EU,130.54,56.36,128.97,0,663.13
NA,123.23,89.36,60.78,0,788.29
EU,32.77,62.85,82.2,0,498.61
NA,244.26,20.25,18.86,0,975.3
NA,142.63,37.55,90.73,1,686.98
NA,56.23,56.85,135.46,0,432.96
NA,122.61,12.78,102.24,0,529.4
NA,232.81,55.83,139.42,0,1029.33
EU,184.39,60.83,126.87,1,764.19
NA,236.26,89.0,88.56,0,1186.89
EU,91.82,43.93,148.26,0,555.07
NA,106.58,20.37,142.83,0,485.79
NA,192.68,80.76,17.07,0,1015.59
NA,278.98,30.79,100.43,1,1201.5
NA,51.54,42.99,18.51,1,432.06
NA,134.7,63.23,11.62,0,730.34
EU,135.53,75.66,147.32,0,777.52
NA,54.11,94.48,66.6,0,585.59
EU,136.02,112.38,145.19,1,958.14
EU,78.7,109.51,87.79,0,780.3
EU,139.72,24.85,98.43,1,511.64
EU,137.81,36.28,182.61,0,621.89
NA,97.39,26.63,147.72,0,447.8
NA,120.0,87.45,111.78,1,789.48
EU,184.64,76.97,186.16,0,911.09
NA,100.13,56.28,59.69,1,647.26
EU,164.03,60.52,58.64,1,657.13
EU,153.87,58.84,59.99,0,613.18
EU,119.77,117.35,155.87,0,963.39
EU,123.51,58.46,224.32,0,767.17
NA,183.11,99.57,55.17,0,1006.69
NA,254.91,78.9,139.41,0,1228.24
EU,146.22,60.94,115.36,1,698.55
NA,234.98,17.64,124.82,0,901.12
NA,107.72,98.32,121.93,0,782.04
NA,143.46,80.29,144.37,1,876.54
NA,290.6,62.12,57.79,0,1293.66
NA,291.74,47.24,110.73,0,1239.93
NA,181.45,74.45,66.24,0,948.83
NA,71.34,94.62,139.25,0,627.14
EU,147.05,29.1,192.84,1,625.86
NA,129.12,17.37,50.01,0,569.1
NA,104.13,61.94,107.87,0,645.81
EU,177.4,120.74,152.84,0,1051.97
EU,135.22,55.6,74.01,0,590.66
NA,63.68,17.72,76.35,0,356.34
NA,283.46,85.63,60.06,0,1350.13
EU,103.79,69.62,177.89,0,741.73
EU,83.68,29.58,91.58,1,443.41
EU,41.36,42.03,247.38,0,584.66
NA,121.61,40.82,119.5,0,630.68
EU,53.34,28.56,76.77,0,318.06
NA,69.59,45.95,11.79,0,427.85
EU,190.35,92.96,112.08,0,891.7
NA,154.07,30.07,106.5,0,691.45
EU,78.93,90.71,195.04,1,832.78
NA,266.19,66.22,34.0,0,1196.04
EU,195.58,129.72,148.45,0,1125.58
EU,166.26,23.08,157.39,0,573.5
EU,55.15,98.26,101.31,0,695.39
EU,183.06,48.29,174.02,0,751.47
NA,153.06,37.17,42.29,0,743.17
EU,142.91,144.26,97.55,0,1055.32
EU,143.21,114.86,124.7,0,947.42
EU,24.39,143.37,222.5,0,1030.02
EU,151.14,91.54,248.49,1,1006.46
EU,192.5,96.71,220.05,0,1028.13
NA,154.48,56.38,13.7,0,773.01
EU,180.76,57.99,194.49,0,808.66
NA,248.32,64.94,78.51,0,1136.34
NA,77.53,86.8,130.56,0,621.81
EU,102.03,110.23,160.42,0,899.84
EU,95.01,116.98,137.69,0,895.55
NA,273.24,89.81,92.21,0,1317.6
EU,92.11,21.75,51.54,0,336.05
EU,107.68,81.14,225.93,0,846.15
EU,52.3,128.67,221.0,0,983.39
NA,232.05,97.41,46.01,0,1204.73
EU,79.42,126.04,226.93,0,1029.34
NA,201.32,78.96,123.26,1,1074.38
NA,122.65,63.6,81.0,0,722.51
NA,224.65,76.33,123.44,0,1111.83
NA,235.62,79.87,131.19,0,1161.25
NA,230.06,91.92,49.33,0,1189.92
NA,245.34,37.16,12.35,0,1033.37
NA,273.84,77.3,61.38,0,1275.72
NA,201.68,97.86,103.07,0,1104.54
NA,94.73,88.41,122.49,0,692.7
NA,101.39,17.0,143.75,0,442.33
EU,160.03,82.98,129.36,0,844.96
NA,73.42,23.37,26.37,0,370.33
NA,104.88,24.35,88.2,0,504.38
NA,80.12,95.71,23.75,0,622.82
EU,104.13,59.54,164.67,0,681.09
EU,28.51,105.47,234.37,0,851.65
NA,207.09,63.86,93.33,0,994.2
NA,69.91,49.59,115.42,0,442.66
NA,224.37,59.79,63.17,0,1047.78
EU,195.68,54.5,157.38,0,778.03
NA,123.82,35.88,81.92,0,599.56
NA,103.95,97.3,147.59,0,730.73
NA,56.41,28.09,36.66,1,373.35
EU,25.31,85.78,176.1,0,683.09
NA,125.0,94.21,108.16,1,859.61
NA,234.33,53.78,67.23,0,1069.99
EU,199.34,130.32,209.03,1,1200.54
EU,104.26,37.94,182.21,1,595.82
NA,202.23,95.81,140.66,1,1120.82
EU,168.44,135.83,157.95,0,1116.88
NA,207.08,81.69,62.19,0,1073.2
NA,124.58,81.81,11.28,0,759.38
NA,285.54,77.23,97.77,1,1324.48
NA,57.55,51.13,67.84,0,412.17
NA,290.81,51.28,72.63,0,1236.48
NA,176.45,93.48,105.84,1,1003.65
EU,103.35,31.98,180.26,0,565.02
NA,88.54,59.31,98.25,1,598.17
NA,205.38,89.37,17.67,0,1064.16
EU,130.13,30.87,225.78,0,649.26
EU,59.53,28.45,98.85,1,400.63
EU,129.8,70.69,72.94,0,648.61
EU,109.6,72.24,103.63,0,672.31
NA,181.44,82.35,132.79,1,985.24
NA,100.77,67.6,142.33,0,645.56
NA,81.91,30.5,21.04,0,473.62
EU,196.22,103.65,79.11,0,913.88
EU,162.45,116.48,161.01,0,1034.03
NA,101.61,95.47,145.79,0,726.72
NA,240.28,24.07,74.05,0,991.88
NA,158.81,33.93,92.03,0,726.01
EU,50.38,47.88,188.59,0,547.48
NA,166.45,35.09,94.56,0,761.11
EU,120.73,88.18,193.61,0,852.66
EU,141.53,61.61,245.76,1,848.28
EU,132.86,91.43,179.67,0,881.0
NA,189.57,41.69,78.79,1,881.83
EU,122.68,76.06,238.79,1,887.61
EU,107.29,145.27,115.64,0,1024.73
EU,75.83,72.75,111.93,0,632.0
NA,64.68,97.89,59.78,0,629.43
EU,85.25,86.54,199.47,0,808.39
EU,39.68,88.62,196.6,0,748.69
EU,104.72,54.89,112.67,0,585.64
EU,55.31,22.06,246.3,0,515.58
EU,161.74,41.48,174.81,0,664.72
NA,260.47,85.42,149.38,0,1252.2
NA,286.77,15.32,11.27,0,1122.77
EU,96.08,80.22,146.14,0,740.65
EU,94.0,103.69,57.21,1,745.74
NA,72.41,22.66,107.89,1,424.36
NA,144.98,87.23,49.45,0,888.52
EU,171.26,38.39,82.17,1,591.56
EU,91.55,21.88,127.49,1,445.82
NA,81.72,81.54,118.04,0,626.68
EU,97.75,79.65,102.29,0,682.72
NA,224.73,62.55,142.94,0,1084.94
EU,33.72,48.78,70.59,0,397.7
NA,159.94,58.34,48.31,1,862.11
NA,250.66,91.47,132.26,0,1260.28
EU,149.85,54.3,208.83,0,767.71
EU,142.22,140.84,175.51,0,1127.86
NA,162.84,53.8,75.86,0,810.75
NA,113.49,95.95,125.57,0,788.59
NA,159.54,71.36,35.05,1,897.85
NA,222.33,45.03,74.81,1,1005.64
NA,168.08,96.69,25.26,0,979.55
EU,124.05,144.88,157.18,0,1101.1
EU,82.89,64.9,90.13,0,581.71
EU,26.23,70.91,216.27,1,679.79
NA,130.38,92.91,31.29,0,802.05
NA,190.84,58.61,28.06,0,917.72
NA,79.46,74.23,22.47,0,601.0
NA,130.03,49.11,143.76,0,699.2
NA,238.18,29.38,133.15,0,978.87
NA,215.09,61.71,119.72,0,1031.9
EU,117.18,142.46,180.46,0,1108.97
EU,153.36,120.1,159.9,0,1028.74
EU,61.96,77.64,92.81,0,595.75
EU,177.55,117.84,107.26,0,985.49
NA,188.25,65.05,115.49,0,957.67
NA,53.21,62.8,86.44,0,442.73
EU,102.51,66.73,144.64,0,661.56
EU,130.16,33.92,149.37,1,579.4
EU,53.74,66.69,139.85,0,601.61
NA,98.29,22.82,128.29,1,488.55
EU,147.54,58.81,128.53,1,725.13
NA,120.44,55.49,47.98,1,680.14
NA,103.54,21.82,42.52,0,479.9
EU,183.17,35.46,192.71,1,714.12
NA,148.57,49.69,100.17,0,754.16
EU,88.05,132.62,105.77,0,921.54
NA,191.76,74.47,11.76,0,979.73
NA,117.67,80.69,23.19,1,782.68
EU,197.61,36.81,163.6,1,721.45
EU,128.96,142.76,130.62,1,1099.37
NA,298.41,75.14,134.37,0,1381.2
EU,38.72,79.59,220.79,0,731.54
EU,175.86,22.43,88.94,1,517.77
NA,174.67,85.6,121.18,0,941.9
EU,50.24,86.25,87.36,0,617.98
NA,253.05,71.97,22.31,0,1180.33
NA,267.39,31.77,130.4,0,1064.15
EU,191.1,140.76,50.3,0,1061.49
EU,80.32,133.47,99.63,0,902.64
EU,72.53,141.0,202.52,1,1073.68
EU,198.02,29.47,194.22,0,701.56
EU,89.39,44.06,149.19,0,550.43
NA,259.52,95.26,89.31,0,1299.93
NA,174.99,31.15,107.84,0,767.17
NA,73.8,29.94,19.39,0,409.9
NA,278.61,84.05,73.35,0,1337.78
EU,186.56,137.34,240.09,0,1266.82
NA,98.85,95.02,99.15,0,742.95
NA,177.97,99.87,96.97,1,1036.46
NA,98.64,29.2,99.4,0,510.22
EU,97.14,75.29,162.65,0,724.53
EU,49.73,109.02,213.93,0,885.0
NA,76.86,33.27,61.79,0,459.29
NA,136.28,77.82,128.07,0,805.62
NA,95.75,38.19,131.17,1,546.62
NA,283.02,91.91,29.98,0,1366.51
EU,72.49,127.41,222.2,0,1019.49
EU,108.68,123.91,107.52,1,953.13
EU,177.39,88.21,182.03,0,945.33
NA,143.04,19.19,59.21,0,630.36
EU,41.35,68.14,181.7,0,651.59
NA,68.71,41.92,75.54,0,448.98
NA,220.59,28.41,100.59,0,927.47
EU,180.35,146.43,221.62,0,1273.46
NA,158.83,35.47,148.57,1,765.64
NA,282.39,13.63,111.64,0,1101.31
NA,149.68,45.99,141.37,0,750.44
NA,270.16,49.78,135.36,0,1157.41
NA,256.47,98.9,84.75,0,1287.71
EU,100.7,106.73,104.37,0,833.34
EU,126.03,64.24,245.0,0,824.49
EU,174.34,23.67,166.77,0,608.4
EU,58.87,34.96,149.42,0,472.36
NA,141.3,70.8,39.09,0,786.94
EU,28.49,79.82,169.22,0,667.79
EU,166.5,105.85,98.86,0,894.64
EU,143.83,54.81,112.54,0,636.71
NA,132.75,78.98,16.28,0,786.76
NA,181.37,71.23,110.37,0,943.9
NA,141.92,45.24,65.65,0,692.56
NA,222.2,40.69,52.51,1,990.28
NA,191.89,79.92,128.65,1,1019.52
NA,215.8,35.97,79.45,0,928.99
EU,98.64,92.22,106.0,1,758.44
NA,232.52,70.47,23.31,0,1093.37
EU,172.57,122.76,134.43,0,1047.22
NA,95.92,96.18,13.48,0,720.95
EU,98.55,124.01,196.31,0,1001.34
NA,133.92,72.57,142.53,0,771.69
NA,152.89,46.5,68.36,0,741.99
NA,179.85,90.47,126.87,0,988.55
EU,162.06,106.16,123.34,0,933.6
EU,70.71,128.6,125.79,0,898.63
NA,150.96,39.53,92.44,0,694.45
EU,70.34,69.83,150.84,1,690.37
NA,178.79,58.95,65.09,0,890.33
EU,140.73,90.15,115.46,0,801.76
EU,42.58,101.12,153.48,0,768.39
NA,152.82,97.04,99.8,0,941.77
NA,205.23,30.77,24.92,0,863.0
EU,146.63,114.2,158.79,0,989.07
NA,108.71,87.7,114.41,0,731.65
EU,71.86,105.74,241.06,0,933.29
EU,138.56,88.38,151.11,0,852.17
NA,182.19,90.19,82.75,1,1011.51
NA,199.71,44.29,15.82,0,920.16
NA,168.51,69.32,144.61,0,891.92
NA,105.64,31.2,70.76,0,524.0
EU,116.14,138.21,231.34,1,1171.14
NA,254.16,38.99,48.55,0,1107.48
EU,169.67,137.28,162.33,0,1158.14
EU,72.01,78.95,183.17,0,727.85
EU,170.64,99.64,219.98,0,998.06
EU,83.73,48.27,230.87,0,651.22
NA,243.55,67.0,36.57,0,1135.17
EU,123.32,124.9,100.62,0,936.75
NA,109.69,50.93,147.37,1,645.68
NA,205.52,16.63,27.99,0,855.76
NA,141.32,99.16,33.79,0,861.76
EU,44.5,120.9,203.34,0,908.89
EU,111.15,140.47,244.35,0,1177.93
NA,138.31,54.67,49.82,0,710.62
EU,108.26,37.0,207.28,0,618.75
EU,65.01,141.59,246.85,0,1113.9
NA,179.48,14.57,140.33,0,721.89
NA,260.56,73.62,106.39,0,1224.49
NA,203.88,55.64,57.5,0,960.37
NA,293.96,74.74,28.75,0,1350.63
EU,178.92,145.77,195.15,0,1243.03
NA,268.28,79.83,35.35,1,1283.9
NA,256.25,22.75,13.22,0,1038.71
NA,199.57,74.7,133.67,0,1011.16
NA,148.84,46.6,112.15,1,736.91
EU,155.66,43.77,90.75,1,610.62
EU,36.8,25.89,245.19,1,512.45
EU,189.04,52.34,160.18,1,794.02
NA,285.53,98.25,62.67,0,1390.13
EU,154.33,42.73,173.01,0,649.21
NA,192.49,50.88,22.39,0,900.19
NA,194.29,63.75,103.06,0,954.94
NA,187.84,98.27,148.47,0,1059.07
NA,186.52,79.73,125.03,0,998.74
EU,124.04,142.19,196.73,1,1149.3
EU,23.99,87.77,82.66,1,609.48
EU,166.68,87.79,247.75,0,1009.05
NA,82.09,71.51,106.59,1,611.85
EU,80.14,31.84,76.5,0,415.93
EU,105.52,35.34,159.01,0,543.35
EU,68.0,91.22,89.7,1,692.81
NA,179.3,14.33,64.85,0,764.68
NA,188.69,81.67,70.02,0,988.15
EU,34.98,28.37,224.22,0,488.36
EU,107.48,57.83,236.15,1,776.55
NA,90.95,50.28,121.84,1,582.91
EU,105.13,127.92,207.98,1,1065.13
NA,132.72,47.67,17.74,0,662.31
EU,47.6,66.3,207.19,0,687.87
NA,116.8,21.59,110.43,1,574.65
EU,146.31,58.31,192.62,0,751.49
EU,100.0,25.17,231.9,0,587.94
NA,166.34,10.66,81.07,0,667.62
EU,52.62,125.42,71.68,0,801.68
EU,197.59,132.03,126.17,0,1118.2
NA,213.02,11.91,74.4,0,850.83
NA,157.83,34.53,138.35,0,715.1
NA,178.73,31.67,123.03,0,767.15
NA,69.27,48.7,66.59,0,462.22
EU,89.59,92.85,178.36,0,824.18
NA,218.91,86.96,59.45,0,1120.23
EU,149.03,142.9,137.82,1,1129.86
NA,299.86,64.49,28.71,0,1317.68
NA,270.44,50.67,125.71,0,1161.2
NA,253.56,57.84,85.28,0,1145.68
NA,194.27,48.46,21.39,0,912.74
EU,117.93,145.0,93.32,0,1018.35
NA,242.56,32.55,105.66,0,1007.56
EU,69.41,93.7,81.04,1,695.3
EU,97.97,88.99,59.23,0,663.91
EU,42.11,119.75,200.05,0,892.3
EU,73.52,54.96,135.08,0,576.21
NA,78.41,93.17,74.67,0,657.43
EU,149.89,52.84,184.31,0,722.26
NA,275.11,75.21,102.15,0,1247.76
NA,129.84,63.57,49.91,0,726.16
EU,154.09,83.64,167.12,0,875.86
NA,137.49,30.86,64.17,0,636.01
NA,109.07,29.77,50.08,0,546.03
NA,196.47,55.23,107.85,0,933.82
EU,98.1,60.23,154.24,0,649.53
NA,270.3,83.11,17.76,1,1330.84
EU,28.39,34.15,104.74,0,357.94
EU,134.43,125.36,154.45,0,1023.65
EU,73.82,107.05,217.25,0,917.02
EU,137.38,22.79,230.3,0,631.51
NA,249.37,25.07,17.7,0,1006.08
EU,76.75,78.06,176.51,0,739.63
EU,61.12,130.21,61.34,1,847.06
EU,185.5,97.05,125.06,0,928.08
EU,20.11,111.04,155.3,1,790.29
NA,149.9,79.99,33.84,0,859.36
NA,263.33,42.9,120.01,0,1131.85
NA,256.91,97.33,144.31,1,1302.88
NA,64.8,40.96,143.38,0,434.81
EU,36.07,139.76,89.68,1,857.5
EU,168.56,91.5,168.09,1,936.57
EU,41.95,118.79,122.14,0,813.45
NA,138.68,80.58,82.05,1,844.2
EU,192.29,88.68,185.87,0,967.23
NA,195.71,83.56,15.07,0,1020.86
EU,186.75,64.81,176.66,0,830.51
EU,156.82,21.61,237.51,1,661.09
EU,198.62,136.95,180.59,0,1206.89
NA,244.21,82.96,117.91,1,1225.33
NA,131.27,59.52,93.15,1,750.52
NA,120.88,99.22,40.12,0,809.65
EU,49.35,132.02,54.23,0,801.89
EU,58.17,48.36,63.02,0,426.33
NA,52.56,76.47,40.85,0,508.88
NA,225.21,18.25,116.33,0,910.38
NA,84.54,66.15,138.03,0,588.69
EU,75.07,24.82,188.73,0,502.17
NA,214.41,67.15,110.29,0,1040.36
NA,98.74,83.64,40.27,0,676.92
EU,169.97,135.64,166.49,0,1146.69
NA,91.96,43.73,84.82,0,516.11
NA,51.08,91.93,141.88,0,524.97
NA,171.23,17.99,78.06,1,722.98
NA,164.75,91.2,140.23,0,948.13
NA,101.88,37.46,70.44,1,555.28
EU,143.76,142.68,75.59,0,1012.87
NA,115.39,79.28,88.88,0,738.75
NA,259.97,69.25,19.26,0,1214.25
EU,110.8,80.63,121.26,0,727.35
NA,241.51,83.04,116.73,0,1197.62
NA,132.77,16.73,103.92,0,567.69
NA,174.26,76.86,100.39,0,925.94
EU,29.86,143.7,230.99,1,1057.59
EU,190.85,67.41,217.7,0,890.38
EU,148.62,101.47,70.95,0,837.95
EU,198.72,55.26,198.35,1,852.63
NA,200.35,87.62,51.55,0,1055.11
EU,115.17,77.2,175.61,0,772.02
EU,172.9,63.51,168.24,1,808.28
NA,152.51,41.84,32.73,0,725.76
EU,124.09,101.44,205.11,0,954.78
NA,69.09,20.67,25.33,0,371.58
NA,162.1,54.62,96.28,0,805.88
EU,181.52,64.24,85.53,1,725.1
EU,192.6,47.9,122.77,0,693.4
EU,104.56,68.6,209.18,1,789.27
EU,72.56,100.51,228.73,0,897.74
EU,72.03,79.17,77.2,0,614.36
EU,89.23,71.0,131.52,1,693.74
NA,215.39,59.12,36.94,0,1037.17
EU,93.33,149.0,127.16,0,1047.13
NA,282.87,61.06,129.72,0,1257.01
NA,171.48,18.31,97.72,1,725.49
EU,155.54,125.2,75.75,0,961.91
EU,149.3,138.15,238.63,0,1189.56
NA,86.42,74.61,26.49,0,611.35
NA,187.37,64.8,63.08,0,929.38
NA,131.64,42.02,126.71,0,667.55
NA,279.96,54.44,52.65,1,1241.3
NA,209.76,24.61,34.5,1,881.32
NA,161.93,41.73,44.32,0,760.85
NA,219.71,70.71,36.68,0,1057.8
EU,79.96,84.88,86.68,0,646.39
EU,61.25,109.52,115.83,0,788.4
NA,269.02,11.73,32.27,0,1037.94
EU,99.88,29.18,145.59,0,490.2
NA,201.08,63.01,94.2,0,972.29
EU,154.92,65.11,183.18,1,816.86
NA,138.26,15.68,29.27,0,564.93
EU,136.16,61.9,180.43,0,723.47
EU,149.43,99.28,72.54,0,824.43
EU,162.09,24.65,246.55,0,690.96
NA,114.71,37.06,124.78,0,588.35
NA,284.17,64.87,46.02,0,1259.66
EU,78.53,36.88,173.08,0,521.02
NA,191.61,76.66,59.92,0,960.34
NA,53.82,57.05,92.2,0,421.98
EU,177.0,31.44,100.58,0,567.66
EU,82.45,80.55,217.23,1,808.96
EU,180.77,36.61,223.13,1,756.49
NA,128.56,94.05,93.1,0,822.91
EU,53.86,94.32,213.64,0,829.01
NA,122.2,75.19,24.71,0,756.97
NA,124.43,73.75,30.48,0,748.86
EU,111.63,147.74,190.52,0,1136.0
EU,112.32,104.41,102.76,1,840.2
NA,271.22,38.31,126.13,1,1163.71
NA,103.05,60.15,54.15,0,610.86
EU,173.74,71.29,231.28,1,928.56
EU,154.34,27.85,244.54,0,694.64
NA,152.34,46.04,133.92,0,757.12
EU,60.53,54.81,224.44,0,658.65
NA,289.62,62.87,124.36,0,1303.52
NA,90.2,85.01,43.05,0,653.68
NA,173.28,58.73,74.67,0,854.36
EU,59.93,76.61,72.89,0,569.74
